gemeente_naam,gemeente_afkorting,functie_naam,medewerker_id,medewerker,medewerker_partij
Gemeente Meppel,Meppel,Burgemeester,134414,Dhr. R.T.A. Korteland,VVD
Gemeente Meppel,Meppel,Fractievoorzitter,127993,Mw. S. Wolvekamp-Bloemert,CDA
Gemeente Meppel,Meppel,Fractievoorzitter,127994,Dhr. L. Kunnen,ChristenUnie
Gemeente Meppel,Meppel,Fractievoorzitter,85638,Dhr. V. Veldhorst,D66
Gemeente Meppel,Meppel,Fractievoorzitter,131310,Mw. P. van Eerden-Hein,GroenLinks
Gemeente Meppel,Meppel,Fractievoorzitter,135441,Dhr. F. Hummel,PvdA
Gemeente Meppel,Meppel,Fractievoorzitter,121001,Dhr. X. Topma,SP
Gemeente Meppel,Meppel,Fractievoorzitter,135442,Mw. E. Bakkenes-Van Hese,Sterk Meppel
Gemeente Meppel,Meppel,Fractievoorzitter,127995,Dhr. drs. F.J. Perquin,VVD
Gemeente Meppel,Meppel,Locoburgemeester,129368,Dhr. R.P. Koning,VVD
Gemeente Meppel,Meppel,Raadsgriffier,20274285,Dhr. drs. G.J. Fokkema,
Gemeente Meppel,Meppel,Raadslid,120667,Dhr. ing. E. Knorren,CDA
Gemeente Meppel,Meppel,Raadslid,120668,Dhr. J. van der Woerdt,CDA
Gemeente Meppel,Meppel,Raadslid,117455,Mw. S. Wolvekamp-Bloemert,CDA
Gemeente Meppel,Meppel,Raadslid,121225,Dhr. L. Kunnen,ChristenUnie
Gemeente Meppel,Meppel,Raadslid,126497,Mw. I. Booij-van Wijk,ChristenUnie
Gemeente Meppel,Meppel,Raadslid,130191,Dhr. ir. N. Dubbelboer,D66
Gemeente Meppel,Meppel,Raadslid,85648,Dhr. V. Veldhorst,D66
Gemeente Meppel,Meppel,Raadslid,131311,Mw. P. van Eerden-Hein,GroenLinks
Gemeente Meppel,Meppel,Raadslid,121004,Dhr. F. Hummel,PvdA
Gemeente Meppel,Meppel,Raadslid,96402,Dhr. F. Schipper,PvdA
Gemeente Meppel,Meppel,Raadslid,131633,Dhr. H. Boersma,PvdA
Gemeente Meppel,Meppel,Raadslid,121006,Mw. G.L.M. Veld-Fonk,PvdA
Gemeente Meppel,Meppel,Raadslid,121007,Dhr. X. Topma,SP
Gemeente Meppel,Meppel,Raadslid,130192,Mw. E. Schut,SP
Gemeente Meppel,Meppel,Raadslid,134967,Dhr. E. Annen,Sterk Meppel
Gemeente Meppel,Meppel,Raadslid,85654,Dhr. F. Venema,Sterk Meppel
Gemeente Meppel,Meppel,Raadslid,130193,Dhr. H.B.J. Schoemaker,Sterk Meppel
Gemeente Meppel,Meppel,Raadslid,85657,Dhr. P. de Vries,Sterk Meppel
Gemeente Meppel,Meppel,Raadslid,85658,Mw. E. Bakkenes-Van Hese,Sterk Meppel
Gemeente Meppel,Meppel,Raadslid,87680,Dhr. drs. F.J. Perquin,VVD
Gemeente Meppel,Meppel,Raadslid,135443,Dhr. R. van Ulzen,VVD
Gemeente Meppel,Meppel,Raadslid,120670,Mw. A. Udinga,VVD
Gemeente Meppel,Meppel,Raadslid,85662,Mw. M.S. Grotens-Pleyte,VVD
Gemeente Meppel,Meppel,Secretaris,20274317,Mw. I.A. Schulting,
Gemeente Meppel,Meppel,Wethouder,125165,Dhr. H.G. ten Hulscher,CDA
Gemeente Meppel,Meppel,Wethouder,125166,Dhr. G. Stam,ChristenUnie
Gemeente Meppel,Meppel,Wethouder,125167,Dhr. J. de Vos,PvdA
Gemeente Meppel,Meppel,Wethouder,125168,Dhr. R.P. Koning,VVD
Gemeente Bergen NH,Bergen NH,Burgemeester,99260,Mw. drs. H. Hafkamp,GroenLinks
Gemeente Bergen NH,Bergen NH,Fractievoorzitter,129388,Mw. F.C. Braak-van Kasteel,GroenLinks
Gemeente Bergen NH,Bergen NH,Fractievoorzitter,126472,Dhr. D. Zwart,CDA
Gemeente Bergen NH,Bergen NH,Fractievoorzitter,126474,Dhr. C. van Leijen,Gemeentebelangen BES
Gemeente Bergen NH,Bergen NH,Fractievoorzitter,126473,Dhr. J.A. Snijder,D66
Gemeente Bergen NH,Bergen NH,Fractievoorzitter,126476,Mw. J.L. Luttik-Swart,KIES Lokaal
Gemeente Bergen NH,Bergen NH,Fractievoorzitter,126478,Dhr. C. Roem,VVD
Gemeente Bergen NH,Bergen NH,Fractievoorzitter,126477,Dhr. A.H. van der Leij,PvdA
Gemeente Bergen NH,Bergen NH,Locoburgemeester,20636415,Dhr. J. Mesu,CDA
Gemeente Bergen NH,Bergen NH,Raadsgriffier,21087941,Dhr. S.G.W.M. Heerdink,
Gemeente Bergen NH,Bergen NH,Raadslid,84450,Mw. A.M.W. Paping,VVD
Gemeente Bergen NH,Bergen NH,Raadslid,129389,Mw. S.C. Groen-Bruschke,GroenLinks
Gemeente Bergen NH,Bergen NH,Raadslid,89202,Dhr. F.D. Zeiler,Gemeentebelangen BES
Gemeente Bergen NH,Bergen NH,Raadslid,112887,Dhr. D. Zwart,CDA
Gemeente Bergen NH,Bergen NH,Raadslid,130042,Mw. C.M. Glas-de Raadt,KIES Lokaal
Gemeente Bergen NH,Bergen NH,Raadslid,133696,Dhr. J.J.H. Swart,KIES Lokaal
Gemeente Bergen NH,Bergen NH,Raadslid,41098,Dhr. J.A.M. Haring,Gemeentebelangen BES
Gemeente Bergen NH,Bergen NH,Raadslid,120848,Mw. W.A.T. Grooteman,CDA
Gemeente Bergen NH,Bergen NH,Raadslid,126480,Dhr. P.K.H.M.M. Ooijevaar,CDA
Gemeente Bergen NH,Bergen NH,Raadslid,120850,Dhr. M.S. Wals,D66
Gemeente Bergen NH,Bergen NH,Raadslid,126481,Dhr. A.H. van der Leij,PvdA
Gemeente Bergen NH,Bergen NH,Raadslid,120849,Dhr. J.M. Halff,D66
Gemeente Bergen NH,Bergen NH,Raadslid,41108,Mw. K. Kindt,PvdA
Gemeente Bergen NH,Bergen NH,Raadslid,130771,Mw. F.M. OuÃ«ndag,GroenLinks
Gemeente Bergen NH,Bergen NH,Raadslid,120854,Dhr. L.J. Damink,KIES Lokaal
Gemeente Bergen NH,Bergen NH,Raadslid,41111,Dhr. J.J.A.S. Houtenbos,VVD
Gemeente Bergen NH,Bergen NH,Raadslid,120856,Dhr. R.J. Karels,KIES Lokaal
Gemeente Bergen NH,Bergen NH,Raadslid,120855,Dhr. M.J. Smook,KIES Lokaal
Gemeente Bergen NH,Bergen NH,Raadslid,120858,Mw. J.L. Luttik-Swart,KIES Lokaal
Gemeente Bergen NH,Bergen NH,Raadslid,120859,Dhr. C. Roem,VVD
Gemeente Bergen NH,Bergen NH,Raadslid,84443,Dhr. J.A. Snijder,D66
Gemeente Bergen NH,Bergen NH,Raadslid,84446,Mw. F.C. Braak-van Kasteel,GroenLinks
Gemeente Bergen NH,Bergen NH,Raadslid,84445,Dhr. C. van Leijen,Gemeentebelangen BES
Gemeente Bergen NH,Bergen NH,Secretaris,20745286,Dhr. M.N. Schroor,
Gemeente Bergen NH,Bergen NH,Wethouder,20636448,Dhr. J. Mesu,CDA
Gemeente Bergen NH,Bergen NH,Wethouder,126355,Dhr. A.P. van Huissteden,PvdA
Gemeente Bergen NH,Bergen NH,Wethouder,135283,Dhr. H.J. Snabilie,KIES Lokaal
Gemeente Bergen NH,Bergen NH,Wethouder,126596,Mw. O. Rasch,D66
Gemeente Nissewaard,Nissewaard,Burgemeester,132573,Mw. M. Salet,PvdA
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,130492,Dhr. B. Overgaauw,CDA
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,130493,Dhr. B.J. Tebrugge,ChristenUnie/SGP
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,130494,Mw. E.J. Slachter,D66
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,135149,Mw. M.L. Sliwinski,Forza! Nissewaard
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,130496,Dhr. S. van der Weg,LOB
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,135237,Dhr. C.A. Hottentot,Nissewaard Lokaal
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,130497,Dhr. J. van Dijk,ONS
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,130498,Dhr. W. Struijk,PvdA
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,135255,Dhr. F.J. Mellink,SP
Gemeente Nissewaard,Nissewaard,Fractievoorzitter,130793,Dhr. E.H.A. Geurts,VVD
Gemeente Nissewaard,Nissewaard,Locoburgemeester,130421,Dhr. C.J. Dijkman,ONS
Gemeente Nissewaard,Nissewaard,Raadsgriffier,20274154,Dhr. mr. S.J.M. Mackaij,
Gemeente Nissewaard,Nissewaard,Raadslid,130134,Dhr. B. Overgaauw,CDA
Gemeente Nissewaard,Nissewaard,Raadslid,130135,Dhr. D. Klok,CDA
Gemeente Nissewaard,Nissewaard,Raadslid,130136,Dhr. K. Ramlal,CDA
Gemeente Nissewaard,Nissewaard,Raadslid,130425,Dhr. B.J. Tebrugge,ChristenUnie/SGP
Gemeente Nissewaard,Nissewaard,Raadslid,130426,Dhr. J. Vroombout,ChristenUnie/SGP
Gemeente Nissewaard,Nissewaard,Raadslid,135239,Dhr. D.S. Wiering,D66
Gemeente Nissewaard,Nissewaard,Raadslid,130140,Mw. E.J. Slachter,D66
Gemeente Nissewaard,Nissewaard,Raadslid,135150,Mw. M.L. Sliwinski,Forza! Nissewaard
Gemeente Nissewaard,Nissewaard,Raadslid,130144,Dhr. S. van der Weg,LOB
Gemeente Nissewaard,Nissewaard,Raadslid,130145,Mw. N. Gort-Stolk,LOB
Gemeente Nissewaard,Nissewaard,Raadslid,135240,Dhr. C.A. Hottentot,Nissewaard Lokaal
Gemeente Nissewaard,Nissewaard,Raadslid,135241,Dhr. T. den Daas,Nissewaard Lokaal
Gemeente Nissewaard,Nissewaard,Raadslid,130146,Dhr. D.J. Tholen,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,132173,Dhr. G. Muller,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130148,Dhr. J. Postma,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130149,Dhr. J. van Dijk,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130151,Dhr. L. Soeterboek,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130152,Dhr. M. Bosma,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130153,Dhr. M. Polder,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130154,Dhr. P.C. de Vos,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130155,Dhr. W.L. Tijl,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,132185,Mw. B. Verwijs-Weerensteijn,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130156,Mw. drs. M.C. Lewis,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130157,Mw. J. Eshuis-Broekzitter,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130158,Mw. N. Vonk Noordegraaf-van Dijk,ONS
Gemeente Nissewaard,Nissewaard,Raadslid,130159,Dhr. A. Struijk,PvdA
Gemeente Nissewaard,Nissewaard,Raadslid,130161,Dhr. P. Versluis,PvdA
Gemeente Nissewaard,Nissewaard,Raadslid,130829,Dhr. R. Harmsen,PvdA
Gemeente Nissewaard,Nissewaard,Raadslid,130162,Dhr. W. Struijk,PvdA
Gemeente Nissewaard,Nissewaard,Raadslid,130163,Mw. D. Kieboom,PvdA
Gemeente Nissewaard,Nissewaard,Raadslid,130164,Dhr. F. Hulst,SP
Gemeente Nissewaard,Nissewaard,Raadslid,135256,Dhr. F.J. Mellink,SP
Gemeente Nissewaard,Nissewaard,Raadslid,130768,Mw. R. Corzilius,SP
Gemeente Nissewaard,Nissewaard,Raadslid,130168,Dhr. E.H.A. Geurts,VVD
Gemeente Nissewaard,Nissewaard,Raadslid,130169,Dhr. G.C.A. Kabbedijk,VVD
Gemeente Nissewaard,Nissewaard,Raadslid,132174,Dhr. I.S. Bal,VVD
Gemeente Nissewaard,Nissewaard,Raadslid,135412,Mw. A.M. Twisker-Pijnacker,VVD
Gemeente Nissewaard,Nissewaard,Secretaris,20274200,Dhr. M.L.M. Weerts,
Gemeente Nissewaard,Nissewaard,Wethouder,129929,Dhr. D. van der Schaaf,CDA
Gemeente Nissewaard,Nissewaard,Wethouder,129945,Dhr. C.J. Dijkman,ONS
Gemeente Nissewaard,Nissewaard,Wethouder,129946,Dhr. J.W. Mijnans,ONS
Gemeente Nissewaard,Nissewaard,Wethouder,129947,Dhr. M. Hamerslag,ONS
Gemeente Nissewaard,Nissewaard,Wethouder,22451535,Dhr. H. de Graad,VVD
Gemeente Krimpenerwaard,Krimpenerwaard,Burgemeester,133525,Dhr. mr. R.S. Cazemier,VVD
Gemeente Krimpenerwaard,Krimpenerwaard,Fractievoorzitter,20802718,Dhr. A.H. van Dorp,ChristenUnie
Gemeente Krimpenerwaard,Krimpenerwaard,Fractievoorzitter,130044,Dhr. J.R. Dekker,CDA
