ministerie_naam,medewerker_id,medewerker_naam,functie_naam
Algemene Zaken,22433388,Drs. M. Rutte,Minister-president en minister van Algemene Zaken
Buitenlandse Zaken,50073,A.G. (Bert) Koenders,Minister van Buitenlandse Zaken
Buitenlandse Zaken,114480,E.M.J. Ploumen,Minister voor Buitenlandse Handel en Ontwikkelingssamenwerking
Defensie,95238,mw. drs. A.Th.B. (Ank) Bijleveld-Schouten,Minister
Defensie,22651573,mw. drs. B. (Barbara) Visser,Staatssecretaris
"Volksgezondheid, Welzijn en Sport",94031,P. Blokhuis,"Staatssecretaris van Volksgezondheid, Welzijn en Sport"
"Volksgezondheid, Welzijn en Sport",22514761,Bruno Bruins,Minister voor Medische Zorg en Sport
"Volksgezondheid, Welzijn en Sport",94030,Hugo de Jonge,"Minister van Volksgezondheid, Welzijn en Sport/vicepremier"
Binnenlandse Zaken en Koninkrijksrelaties,99060,Drs. K.H. Ollongren (Kajsa),Minister van Binnenlandse Zaken en Koninkrijksrelaties
Binnenlandse Zaken en Koninkrijksrelaties,115078,Drs. R.W. Knops (Raymond),Staatssecretaris van Binnenlandse Zaken en Koninkrijksrelaties
Economische Zaken en Klimaat,22433401,Ir. E.D. Wiebes MBA,Minister
Economische Zaken en Klimaat,22433409,Mr.Drs. M.C.G. Keijzer,Staatssecretaris
Ministerie van Justitie en Veiligheid,14282,Dhr. Dr.Mr. F.B.J. Grapperhaus,Minister van Justitie en Veiligheid
Ministerie van Justitie en Veiligheid,50319,Dhr. M.G.J. Harbers,Staatssecretaris van Justitie en Veiligheid
Ministerie van Justitie en Veiligheid,22221849,Dhr. Drs. S. Dekker,Minister voor Rechtsbescherming
Sociale Zaken en Werkgelegenheid,23087178,Drs. W. Koolmees,Minister
Sociale Zaken en Werkgelegenheid,23087172,Drs. T. van Ark,Staatssecretaris
FinanciÃ«n,22755386,Mr. W.B. Hoekstra MBA,Minister
FinanciÃ«n,22755394,Drs. M. Snel,Staatssecretaris
"Onderwijs, Cultuur en Wetenschap",23087214,Drs. A. Slob,Minister voor Basis- en Voortgezet Onderwijs en Media
"Onderwijs, Cultuur en Wetenschap",23087202,Mr. drs. I.K. van Engelshoven,"Minister van Onderwijs, Cultuur en Wetenschap"
Infrastructuur en Waterstaat,22433416,Drs. C. van Nieuwenhuizen-Wijbenga,Minister
Infrastructuur en Waterstaat,22433423,Drs. S. van Veldhoven-van der Meer,Staatssecretaris
"Landbouw, Natuur en Voedselkwaliteit",22387702,Drs. C.J. Schouten,"Minister van Landbouw, Natuur en Voedselkwaliteit"
