id,title,first_name,last_name,suffix,party,municipality,role
133784,Dhr. mr.,J.Th.C.M.,Verheijen,,CDA,Gemeente Wijchen,Burgemeester
114993,Dhr.,T.R.,Poppens,,VVD,Gemeente Wijk bij Duurstede,Burgemeester
32275,Dhr.,G.J.M.,van Rumund,,PvdA,Gemeente Wageningen,Burgemeester
117252,Dhr.,H.C.,Wagner,,PvdA,Gemeente Albrandswaard,Burgemeester
132754,Dhr. mr.,P.,Oskam,,CDA,Gemeente Capelle aan den IJssel,Burgemeester
117302,Mw.,D.H.,Schmalschl&auml;ger,,GroenLinks,Gemeente Nuth,Burgemeester
94140,Dhr.,H.,Jager,,CDA,Gemeente Westerveld,Burgemeester
133449,Dhr. drs.,G.G.J.,Rensen,,PvdA,Gemeente Brielle,Burgemeester
83717,Dhr.,D.,Bijl,,VVD,Gemeente Purmerend,Burgemeester
132215,Dhr. dr.,G.O.,van Veldhuizen,,D66,Gemeente Enschede,Burgemeester
118276,Dhr. drs.,A.M.P.,Kleijngeld,,PvdA,Gemeente Waalwijk,Burgemeester
117316,Dhr.,R.,Posthumus,,VVD,Gemeente Koggenland,Burgemeester
34223,Dhr. mr.,W.,van den Berg,,CDA,Gemeente Ferwerderadiel,Burgemeester
113623,Dhr.,Ch.B.,Aptroot,,VVD,Gemeente Zoetermeer,Burgemeester
133705,Dhr. ing.,B.,van de Weerd,,SGP,Gemeente Nunspeet,Burgemeester
71523,Dhr. mr. drs.,R.G.,Welten,,CDA,Gemeente Borne,Burgemeester
133733,Mw. drs.,J.W.E.,Spies,,CDA,Gemeente Alphen aan den Rijn,Burgemeester
64275,Dhr.,P.M.J.H.,Bos,,CDA,Gemeente Boekel,Burgemeester
132573,Mw.,M.,Salet,,PvdA,Gemeente Nissewaard,Burgemeester
24845,Dhr.,A.,de Hoop,,D66,Gemeente Ameland,Burgemeester
129548,Dhr. mr.,J.W.M.S.,Minses,,Partij Onafhankelijk,Gemeente Alphen-Chaam,Burgemeester
98782,Dhr.,F.R.,Streng,,VVD,Gemeente Medemblik,Burgemeester
20250451,Mw.,W.J.G.,Delissen-van Tongerlo,,VVD,Gemeente Peel en Maas,Burgemeester
111372,Dhr.,J.J.,Luteijn,,SGP,Gemeente Cromstrijen,Burgemeester
112743,Dhr. drs.,H.M.F.,Bruls,,CDA,Gemeente Nijmegen,Burgemeester
130559,Dhr.,P.F.G.,Depla,,PvdA,Gemeente Breda,Burgemeester
110641,Dhr. mr.,A.,Hoogendoorn,,ChristenUnie,Gemeente Oldebroek,Burgemeester
117439,Dhr. drs.,W.M.,de Jong,,ChristenUnie,Gemeente Houten,Burgemeester
115073,Dhr. drs.,H.J.,van Schaik,,CDA,Gemeente Harderwijk,Burgemeester
134391,Dhr.,J.,Nieuwenburg,,PvdA,Gemeente Hoorn,Burgemeester
134976,Mw. drs.,J.,Vonk-Vedder,,CDA,Gemeente Halderberge,Burgemeester
98951,Mw.,A.H.,Raven,,CDA,Gemeente Hellendoorn,Burgemeester
115225,Dhr.,P.J.,Heiliegers,,VVD,Gemeente Haarlemmerliede en Spaarnwoude,Burgemeester
133525,Dhr. mr.,R.S.,Cazemier,,VVD,Gemeente Krimpenerwaard,Burgemeester
117494,Mw. drs.,A.E.H.,Baltus,,CDA,Gemeente Heemskerk,Burgemeester
116452,Dhr.,V.J.H.,Molkenboer,,PvdA,Gemeente Woerden,Burgemeester
133980,Mw.,M.H.M.R.,de Hoon-Veelenturf,,CDA,Gemeente Baarle-Nassau,Burgemeester
97967,Dhr. Jhr.,M.A.,R&ouml;ell,,VVD,Gemeente Baarn,Burgemeester
130660,Dhr.,A.J.,van Hedel,,VVD,Gemeente Brummen,Burgemeester
132098,Dhr. mr.,M.,Slinkman,,CDA,Gemeente Berg en Dal,Burgemeester
114334,Dhr.,J.R.A.,Nawijn,,VVD,Gemeente Hollands Kroon,Burgemeester
21645435,Dhr. mr.,L.J.,Verhulst,,CDA,Gemeente Ede,Burgemeester
54191,Dhr. mr.,N.,Meijer,,VVD,Gemeente Zandvoort,Burgemeester
20257190,Dhr.,B.J.J.,Bengevoord,,GroenLinks,Gemeente Winterswijk,Burgemeester
29879,Dhr. drs.,J.,van Belzen,,SGP,Gemeente Barendrecht,Burgemeester
135739,Dhr.,M.J.F.J.,Thijsen,,Onafhankelijk,Gemeente Tynaarlo,Burgemeester
20260768,Dhr. drs.,M.E.,Smit,,PvdA,Gemeente Beverwijk,Burgemeester
133684,Mw.,W.J.A.,Verkleij-Eimers,,VVD,Gemeente Uitgeest,Burgemeester
120699,Dhr.,P.,Smit,,D66,Gemeente Oldambt,Burgemeester
30612,Dhr.,K.W.Th.,van Soest,,VVD,Gemeente Boxmeer,Burgemeester
55000,Dhr.,F.,Buijserd,,CDA,Gemeente Nieuwkoop,Burgemeester
98799,Dhr.,P.I.,Broertjes,,PvdA,Gemeente Hilversum,Burgemeester
95311,Dhr. mr.,W.A.G.,Hillenaar,,CDA,Gemeente Cuijk,Burgemeester
115011,Mw.,L.M.B.C.,Wagenaar-Kroon,,CDA,Gemeente Waterland,Burgemeester
126949,Mw. mr.,A.H.,Bronsvoort,,PvdA,Gemeente Oost Gelre,Burgemeester
130125,Dhr. drs.,J.W.,Brenninkmeijer,,CDA,Gemeente Waalre,Burgemeester
118849,Dhr. mr.,J.H.C.,van Zanen,,VVD,Gemeente Utrecht,Burgemeester
135287,Dhr.,D.A.,Heijkoop,,CDA,Gemeente Hardinxveld-Giessendam,Burgemeester
131919,Dhr.,R.K.H.,Krewinkel,,PvdA,Gemeente Heerlen,Burgemeester
116878,Dhr.,H.,Kosmeijer,,PvdA,Gemeente Marum,Burgemeester
21671819,Dhr.,G.J.,Bouwmeester,,D66,Gemeente Leusden,Burgemeester
135668,Dhr. drs.,L.J.,Gebben,,VVD,Gemeente Tytsjerksteradiel,Burgemeester
117286,Dhr. drs.,W.R.,Sluiter,,PvdA,Gemeente Harlingen,Burgemeester
133372,Mw.,C.,van Basten-Boddin,,D66,Gemeente Beek,Burgemeester
33460,Dhr.,H.F.M.,Evers,,PvdA,Gemeente Nederweert,Burgemeester
130417,Dhr.,M.J.D.,Witteman,,PvdA,Gemeente Stichtse Vecht,Burgemeester
22327389,Mw. mr.,M.M.D.,Vermue,,CDA,Gemeente Sluis,Burgemeester
87065,Mw.,M.L.P.,Sijbers,,VVD,Gemeente Sint Anthonis,Burgemeester
132338,Dhr.,S.W.,van 't Erve,,GroenLinks,Gemeente Lochem,Burgemeester
39443,Dhr. mr.,J.C.M.,Pommer,,CDA,Gemeente Sint-Michielsgestel,Burgemeester
117103,Dhr.,D.J.,Schrijer,,PvdA,Gemeente Zwijndrecht,Burgemeester
118214,Dhr. drs.,J.J.C.,Adriaansen,,VVD,Gemeente Woensdrecht,Burgemeester
92561,Dhr.,K.J.G.,Kats,,SGP,Gemeente Zuidplas,Burgemeester
113074,Dhr. drs.,T.J.,Schouten,,PvdA,Gemeente Oldenzaal,Burgemeester
133040,Mw.,A.,Callewaert-de Groot,,CDA,Gemeente Bergeijk,Burgemeester
110916,Dhr.,P.H.,Snijders,,VVD,Gemeente Hardenberg,Burgemeester
115116,Dhr.,L.M.C.,Winants,,CDA,Gemeente Brunssum,Burgemeester
20259896,Mw. drs.,G.M.,Mittendorff,,CDA,Gemeente Heumen,Burgemeester
26493,Dhr.,B.J.,Bouwmeester,,D66,Gemeente Coevorden,Burgemeester
20472981,Dhr.,G.M.,Dijksterhuis,,ChristenUnie,Gemeente Borsele,Burgemeester
128063,Dhr. drs.,J.H.A.,van Oostrum,,VVD,Gemeente Berkelland,Burgemeester
133565,Mw. mr.,A.C.,Nienhuis,,VVD,Gemeente Landsmeer,Burgemeester
133121,Mw.,D.H.,Oudshoorn-Tinga,,Partij Onafhankelijk,Gemeente Uithoorn,Burgemeester
20257616,Dhr.,C.L.,Visser,,CDA,Gemeente Katwijk,Burgemeester
112780,Dhr. mr. drs.,W.,Gradisen,,PvdA,Gemeente Mook en Middelaar,Burgemeester
84130,Mw. mr.,K.M.,van der Velde-Menting,,VVD,Gemeente Kaag en Braassem,Burgemeester
31062,Dhr. drs.,J.F.M.,Gaillard,,VVD,Gemeente Son en Breugel,Burgemeester
63048,Dhr.,M.A.P.,Michels,,CDA,Gemeente Winsum,Burgemeester
111772,Dhr.,D.A.M.,Akkermans,,CDA,Gemeente Eijsden-Margraten,Burgemeester
22041600,Mw. mr.,J.C.R.,Keijzers-Verschelling,,CDA,Gemeente Oirschot,Burgemeester
112123,Dhr.,M.J.,Houben,,CDA,Gemeente Nuenen c.a.,Burgemeester
130787,Mw.,A.J.M.,van Beek,,CDA,Gemeente Beemster,Burgemeester
132361,Dhr. dr.,T.J.,Haan,,PvdA,Gemeente Maassluis,Burgemeester
20253649,Dhr.,H.J.,Mak,,CDA,Gemeente Deurne,Burgemeester
132578,Dhr.,F.,Veenstra,,CDA,Gemeente De Fryske Marren,Burgemeester
64501,Mw. drs.,M.C.M.,Waanders,,PvdA,Gemeente Dongeradeel,Burgemeester
112001,Mw.,L.M.,Driessen-Jansen,,VVD,Gemeente Leiderdorp,Burgemeester
117925,Dhr. dr.,F.A.,Petter,,CDA,Gemeente Bergen op Zoom,Burgemeester
112682,Dhr.,R.T.,de Groot,,CDA,Gemeente De Wolden,Burgemeester
111950,Dhr. drs.,H.H.,Apotheker,,D66,Gemeente S&uacute;dwest Frysl&acirc;n,Burgemeester
134910,Dhr.,J.A.,Jorritsma,,VVD,Gemeente Eindhoven,Burgemeester
29647,Dhr.,R.,van Benthem RA,,VVD,Gemeente Eemnes,Burgemeester
28619,Dhr.,A.,Rodenboog,,CDA,Gemeente Loppersum,Burgemeester
135743,Dhr.,M.C.,Bakermans,,Onafhankelijk,Gemeente Landerd,Burgemeester
26030,Dhr.,G.J.A.M.,Nijpels,,VVD,Gemeente Opmeer,Burgemeester
133494,Dhr.,M.,Pijl,,CDA,Gemeente Drechterland,Burgemeester
117938,Dhr.,D.R.,van der Borg,,CDA,Gemeente Molenwaard,Burgemeester
131178,Dhr.,J.,Seton,,CDA,Gemeente Borger-Odoorn,Burgemeester
98779,Dhr. mr.,C.,van der Kamp,,CDA,Gemeente Bodegraven-Reeuwijk,Burgemeester
67007,Dhr. drs.,H.A.G.,Hellegers,,PvdA,Gemeente Uden,Burgemeester
112796,Dhr.,P.J.H.M.,de Koning,,VVD,Gemeente Gennep,Burgemeester
133248,Mw. mr.,A.,Grootenboer-Dubbelman,,CDA,Gemeente Goeree-Overflakkee,Burgemeester
135672,Dhr.,M.S.,van Veen,,VVD,Gemeente Gemert-Bakel,Burgemeester
132378,Dhr. dr.,M.,Schoenmaker,,VVD,Gemeente Gouda,Burgemeester
134491,Dhr.,J.H.,Bats,,VVD,Gemeente Steenwijkerland,Burgemeester
28328,Dhr.,M.,van de Groep,,ChristenUnie,Gemeente Bunschoten,Burgemeester
36438,Dhr.,A.J.,Rodenburg,,CDA,Gemeente Midden-Delfland,Burgemeester
22297,Dhr.,P.C.,Tange,,GroenLinks,Gemeente Wormerland,Burgemeester
133619,Dhr. drs.,A.R.B.,van den Tillaar,,CDA,Gemeente Vlissingen,Burgemeester
54044,Dhr.,R.J.,van de Mortel,,VVD,Gemeente Vught,Burgemeester
20265917,Dhr.,A.J.,Kottelenberg,,CDA,Gemeente Neder-Betuwe,Burgemeester
115092,Dhr.,G.,Gerbrandy,,FNP,Gemeente Achtkarspelen,Burgemeester
110937,Dhr. drs.,J.W.,Wiggers,,CDA,Gemeente Hattem,Burgemeester
28559,Dhr. drs.,J.J.L.M.,Janssen,,CDA,Gemeente Zeist,Burgemeester
114638,Dhr.,A.P.J.,van Hemmen,,CDA,Gemeente Sliedrecht,Burgemeester
91900,Dhr. drs.,L.M.M.,Bolsius,,CDA,Gemeente Amersfoort,Burgemeester
115646,Mw.,A.W.M.,Spruit,,PvdA,Gemeente Lisse,Burgemeester
116573,Dhr.,A.S.F.,Asseldonk,,D66,Gemeente Overbetuwe,Burgemeester
135067,Mw. mr.,A.M.M.,Jetten,,PvdA,Gemeente Vlaardingen,Burgemeester
118201,Mw.,M.H.F.,Schuurmans-Wijdeven,,VVD,Gemeente Lingewaard,Burgemeester
118695,Dhr.,R.T.,Metz,,VVD,Gemeente Soest,Burgemeester
118227,Mw.,M.J.P.,van Kampen-Nouwen,,CDA,Gemeente Schagen,Burgemeester
121989,Dhr. drs.,H.B.I.,de Lange,,PvdA,Gemeente Duiven,Burgemeester
21315465,Dhr.,R.A.P.,Wortelboer,,VVD,Gemeente Stede Broec,Burgemeester
131121,Dhr.,E.,Boog,,D66,Gemeente Diemen,Burgemeester
132349,Dhr.,K.,Smid,,PvdA,Gemeente Noordenveld,Burgemeester
130003,Dhr. mr.,J.B.,Wassink,,GroenLinks,Gemeente Terschelling,Burgemeester
132145,Dhr. drs.,T.C.,Segers,MBA,ChristenUnie,Gemeente Staphorst,Burgemeester
117096,Dhr.,A.M.H.,Roolvink,,VVD,Gemeente Grave,Burgemeester
135521,Dhr.,A.F.,Bonthuis,,PvdA,Gemeente Zederik,Burgemeester
132122,Dhr.,B.H.M.,Link,,CDA,Gemeente Geldrop-Mierlo,Burgemeester
25898,Dhr. drs.,G.L.C.M.,de Kok,,PvdA,Gemeente Drimmelen,Burgemeester
35860,Dhr.,G.J.,Gorter,,Gemeentebelangen,Gemeente Zeewolde,Burgemeester
117840,Dhr. ir.,A.P.,Heidema,,Partij Onafhankelijk,Gemeente Deventer,Burgemeester
21009285,Mw.,C.,Schokker-Strampel,,CDA,Gemeente Vlieland,Burgemeester
132591,Dhr.,R.P.,van den Belt,MBA,VVD,Gemeente Steenbergen,Burgemeester
132074,Dhr. drs.,P.H.,van de Stadt,,VVD,Gemeente Lansingerland,Burgemeester
30399,Dhr. drs.,J.T.H.M.,Penninx,,PvdA,Gemeente Voorst,Burgemeester
20266548,Mw. ing.,N.H.C.,Ramaekers-Rutjens,,Onafhankelijk,Gemeente Gulpen-Wittem,Burgemeester
114514,Dhr. drs.,S.W.J.G.,Schelberg,,VVD,Gemeente Hengelo Ov.,Burgemeester
129758,Dhr.,P.E.J.,den Oudsten,,PvdA,Gemeente Groningen,Burgemeester
22645032,Dhr.,N.L.,Agricola,,Gemeentebelangen,Gemeente Dantumadiel,Burgemeester
133291,Mw. mr.,E.G.E.M.,Bloemen LLM,,CDA,Gemeente Zoeterwoude,Burgemeester
54666,Mw.,M.,van Beek,,PvdA,Gemeente Eemsmond,Burgemeester
106943,Mw. dr.,J.,Liemburg,,PvdA,Gemeente Littenseradiel,Burgemeester
93056,Dhr. mr.,R.J.H.,Vlecken,,CDA,Gemeente Landgraaf,Burgemeester
71532,Dhr. dr.,J.J.P.M.,Gilissen,,PvdA,Gemeente Venray,Burgemeester
113033,Mw.,L.A.M.,Kompier,,PvdA,Gemeente Vlagtwedde,Burgemeester
112425,Mw.,M.H.E.,Pelzer,,CDA,Gemeente Bergen (L),Burgemeester
135732,Dhr. drs.,H.F.,van Oosterhout,,PvdA,Gemeente Emmen,Burgemeester
22661331,Mw.,D.,Blok,,VGBK,Gemeente Someren,Burgemeester
92282,Mw.,B.A.H.,Galama,,VVD,Gemeente Stadskanaal,Burgemeester
119416,Dhr. drs.,A.B.A.M.,Ederveen,,CDA,Gemeente Valkenswaard,Burgemeester
54674,Dhr. drs.,F.J.M.,Crone,,PvdA,Gemeente Leeuwarden,Burgemeester
112404,Dhr.,J.,Heijkoop,,CDA,Gemeente Hendrik-Ido-Ambacht,Burgemeester
95309,Dhr. drs.,H.C.P.,Noten,,PvdA,Gemeente Dalfsen,Burgemeester
110466,Dhr. drs.,A.,Mans,,VVD,Gemeente Castricum,Burgemeester
132668,Mw. drs.,L.W.C.M.,van der Meijs-van de Laar,,VVD,Gemeente Doesburg,Burgemeester
132125,Mw.,M.C.,Junius,,CDA,Gemeente Hellevoetsluis,Burgemeester
113929,Dhr. dr.,J.,Boelhouwer,,PvdA,Gemeente Gilze en Rijen,Burgemeester
29282,Dhr. drs.,G.J.M.,Cox,,PvdA,Gemeente Sittard-Geleen,Burgemeester
114718,Dhr.,C.H.J.,Lamers,,CDA,Gemeente Schiedam,Burgemeester
132298,Mw.,M.,Besselink,,PvdA,Gemeente Bronckhorst,Burgemeester
68057,Dhr. mr. drs.,S.W.Th.,Huisman,,VVD,Gemeente Oosterhout,Burgemeester
95562,Dhr. drs.,K.B.,Loohuis,,PvdA,Gemeente Hoogeveen,Burgemeester
134230,Dhr. drs.,R.L.T.,van Loo,,Partij Onafhankelijk,Gemeente Vaals,Burgemeester
114505,Mw.,P.J.M.G.,Blanksma-van den Heuvel,,CDA,Gemeente Helmond,Burgemeester
22482949,Mw.,J.,van Aart,,VVD,Gemeente Loon op Zand,Burgemeester
88522,Dhr. ing.,J.H.M.,Robben,,CDA,Gemeente Wierden,Burgemeester
60935,Dhr.,A.M.T.,Naterop,,CDA,Gemeente Aalburg,Burgemeester
52366,Dhr.,A.G.J.,Strien,,CDA,Gemeente Olst-Wijhe,Burgemeester
129305,Dhr.,J.A.,de Boer MSc,,D66,Gemeente Buren,Burgemeester
113326,Dhr. mr. drs.,P.,Verhoeve,,SGP,Gemeente Oudewater,Burgemeester
21681073,Dhr. mr.,A.W.,Kolff,,VVD,Gemeente Dordrecht,Burgemeester
119384,Mw.,T.,Cnossen-Looijenga,,ChristenUnie,Gemeente Woudenberg,Burgemeester
21682476,Dhr.,P.,van Dijk,,Partij Onafhankelijk,Gemeente Aa en Hunze,Burgemeester
69185,Dhr.,G.C.G.M.,Rabelink,,WOS,Gemeente Schouwen-Duiveland,Burgemeester
132944,Mw. mr.,P.J.,van Hartskamp-de Jong,,VVD,Gemeente Montfoort,Burgemeester
130397,Dhr.,A.,van Erk,,Geen lid politieke partij,Gemeente Hillegom,Burgemeester
133307,Dhr.,E.R.,Jaensch,,VVD,Gemeente Oegstgeest,Burgemeester
129166,Mw. drs.,C.G.J.,Breuer,,CDA,Gemeente Teylingen,Burgemeester
70973,Dhr.,K.F.,Schuiling,,VVD,Gemeente Den Helder,Burgemeester
23568,Dhr. drs.,H.,Oosterman,,CDA,Gemeente Ooststellingwerf,Burgemeester
134596,Dhr.,M.W.A.M.,van Stappershoef,,CDA,Gemeente Goirle,Burgemeester
129883,Dhr.,W.,Houben,,VVD,Gemeente Voerendaal,Burgemeester
22584804,Dhr. drs.,Th.L.N.,Weterings,,VVD,Gemeente Tilburg,Burgemeester
135221,Dhr. drs.,H.M.W.,ter Heegde,,VVD,Gemeente Gooise Meren,Burgemeester
134494,Mw. mr.,I.R.,Adema,,VVD,Gemeente Lelystad,Burgemeester
111371,Dhr. mr.,R.,de Boer,,VVD,Gemeente Simpelveld,Burgemeester
21566198,Dhr.,N.A.,van de Nadort,,PvdA,Gemeente Weststellingwerf,Burgemeester
134428,Dhr.,K.,Tigelaar,,ChristenUnie,Gemeente Leidschendam-Voorburg,Burgemeester
51094,Mw. drs.,M.J.C.,Heeremans,,PvdA,Gemeente Heemstede,Burgemeester
130083,Mw. drs.,W.J.L.,Buijs-Glaudemans,,VVD,Gemeente Oss,Burgemeester
39349,Dhr.,P.J.J.,Verhoeven,,VVD,Gemeente Heeze-Leende,Burgemeester
110498,Dhr.,J.P.M.,Klijs,,CDA,Gemeente Moerdijk,Burgemeester
111521,Mw. dr.,M.W.M.,de Vries,,PvdA,Gemeente Geldermalsen,Burgemeester
112746,Dhr. drs.,J.C.G.M.,Berends MPA,,CDA,Gemeente Apeldoorn,Burgemeester
112226,Dhr. ing.,E.J.,Bilder,,CDA,Gemeente Zwartewaterland,Burgemeester
135042,Dhr. mr.,P.,de Baat MPM,,VVD,Gemeente Montferland,Burgemeester
117194,Dhr.,M.,Buijs,,VVD,Gemeente Boxtel,Burgemeester
113213,Dhr.,P.C.,van Maaren,,CDA,Gemeente Urk,Burgemeester
124070,Dhr. drs.,J.F.M.,Janssen,,CDA,Gemeente Oisterwijk,Burgemeester
134577,Dhr.,A.J.,Gerritsen,,VVD,Gemeente Almelo,Burgemeester
111969,Dhr. mr.,A.Ph.,Hertog,,VVD,Gemeente Huizen,Burgemeester
113579,Dhr. mr.,H.M.,Bergmann,,VVD,Gemeente Middelburg,Burgemeester
34731,Dhr. drs.,G.,Goedhart,,CDA,Gemeente Noordwijkerhout,Burgemeester
20268494,Dhr. mr.,S.C.C.M.,Potters,,VVD,Gemeente De Bilt,Burgemeester
130185,Dhr.,R.,Meerhof,,PvdA,Gemeente Oostzaan,Burgemeester
85439,Dhr.,A.,van der Werff,,CDA,Gemeente Noordoostpolder,Burgemeester
129639,Dhr.,J.,Rijpstra,,VVD,Gemeente Noordwijk,Burgemeester
127084,Mw.,F.,Ravestein,,D66,Gemeente Pijnacker-Nootdorp,Burgemeester
132115,Dhr. mr.,P.J.M.,van Domburg,,VVD,Gemeente IJsselstein,Burgemeester
20269755,Dhr. mr.,M.,Boumans MPM,,VVD,Gemeente Doetinchem,Burgemeester
112515,Dhr. ir.,H.,van der Hoeve,,VVD,Gemeente Epe,Burgemeester
34290,Dhr.,B.,Bilker,,CDA,Gemeente Kollumerland c.a.,Burgemeester
132598,Dhr.,M.W.,Vroom,,CDA,Gemeente Krimpen aan den IJssel,Burgemeester
21589339,Dhr.,A.,Marcouch,,PvdA,Gemeente Arnhem,Burgemeester
33496,Dhr.,J.G.A.,Baas,,PvdA,Gemeente Enkhuizen,Burgemeester
131567,Mw.,J.M.,Penn-te Strake,,Partij Onafhankelijk,Gemeente Maastricht,Burgemeester
99260,Mw. drs.,H.,Hafkamp,,GroenLinks,Gemeente Bergen NH,Burgemeester
134374,Dhr. mr.,O.E.Th.,van Dijk,,PvdA,Gemeente Oude IJsselstreek,Burgemeester
118153,Dhr. drs.,A.J.,van Hout,,VVD,Gemeente Westervoort,Burgemeester
31198,Dhr. mr. drs.,G.D.,Renkema,,CDA,Gemeente Nijkerk,Burgemeester
134618,Dhr.,A.J.,Moerkerke,,VVD,Gemeente Papendrecht,Burgemeester
134968,Mw.,L.J.,Sievers,,Onafhankelijk,Gemeente Edam-Volendam,Burgemeester
134414,Dhr.,R.T.A.,Korteland,,VVD,Gemeente Meppel,Burgemeester
68101,Dhr. drs.,L.J.E.M.,van Riswijk,,CDA,Gemeente Druten,Burgemeester
111901,Dhr. ir.,J.,Beenakker,,VVD,Gemeente Tiel,Burgemeester
71816,Dhr.,F.H.,Wiersma,,CDA,Gemeente De Marne,Burgemeester
133227,Dhr.,Y.C.M.G.,de Boer,,VVD,Gemeente Werkendam,Burgemeester
130389,Mw.,M.A.H.,Clermonts-Aretz,,VVD,Gemeente Meerssen,Burgemeester
134426,Mw.,J.M.,van Bijsterveldt-Vliegenthart,,CDA,Gemeente Delft,Burgemeester
27632,Dhr.,T.J.,Romeyn,,CDA,Gemeente Heiloo,Burgemeester
34696,Dhr.,P.E.,de Jong,,PvdA,Gemeente Westvoorne,Burgemeester
34652,Dhr.,J.F.,Mulder,,CDA,Gemeente Hulst,Burgemeester
127062,Dhr. drs.,H.J.J.,Lenferink,,PvdA,Gemeente Leiden,Burgemeester
129536,Mw.,G.J.,van de Velde-de Wilde,,VVD,Gemeente Tholen,Burgemeester
