system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role
379989,,R.R.,Roelof Roy,Roy,van Aalst,,PVV,,,
19567,MA,M.,Marie-Fleur,Fleur,Agema,,PVV,,,
413960,,M.Ö.,Mahir Önder,Mahir,Alkaya,,SP,,,
439911,Ing.,M.,Mustafa,Mustafa,Amhaouch,,CDA,,,
812733,drs.,K.,Khadija,Khadija,Arib,,PvdA,,,
689747,,F.M.,Femke Merel,Femke Merel,Arissen,,PvdD,,,
458041,dr.,L.F.,Lodewijk Frans,Lodewijk,Asscher,,PvdA,,,
747147,drs.,F.,Farid,Farid,Azarkan,,DENK,,,
683064,mr.,M.,Malik,Malik,Azmani,,VVD,,,
802065,Mr. Dr.,T.H.P.,Thierry Henri Philippe,Thierry,Baudet,,FvD,,,
219265,,B.,Bente,Bente,Becker,,VVD,,,
416675,dr.,S.M.,Sandra Mariët,Sandra,Beckerman,,SP,,,
728600,,H.J.,Harm Jan,Harm,Beertema,,PVV,,,
1037599,,S.,Salima,Salima,Belhaj,,D66,,,
729295,,J.A.M.J.,Jacoba Antonia Maria Joanna,Joba,van den Berg,,CDA,,,
684297,,V.A.,Vera Alida,Vera,Bergkamp,,D66,,,
344751,Dr.,R.,Roelof,Roelof,Bisschop,,SGP,,,
152938,,M.G.W.,Monica Geertruida Wilhelmina,Monica,den Boer,,D66,,,
309483,,A.,Albert,Albert,van den Bosch,,VVD,,,
589208,drs. MA,M.,Martin,Martin,Bosma,,PVV,,,
185034,,A.,André,André,Bosman,,VVD,,,
59971,Drs,A.,Achraf,Achraf,Bouali,,D66,,,
1024376,Msc.,C.M.,Cornelia Maria,Corrie,van Brenk,,50PLUS,,,
164540,drs.,J.H.,Johannes Hermanus,Han,ten Broeke,,VVD,,,
789165,dr.,E.E.W.,Eppo Egbert Willem,Eppo,Bruins,,CU,,,
599661,Mr. drs.,H.G.J.,Hanke Gerdina Johannette,Hanke,Bruins Slot,,CDA,,,
547607,dr.,K.M.,Kathalijne,Kathalijne,Buitenweg,,GL,,,
953699,mr. MPM,C.J.L.,Christiaan Jan Lodewijk,Chris,van Dam,,CDA,,,
697219,,A.E.,Antje Engelina,Antje,Diertens,,D66,,,
216593,ir.,A.P.C.,Antoine Pierre Cornelis,Tony,van Dijck,,PVV,,,
609884,,G.J.,Gijs Jan,Gijs,van Dijk,,PvdA,,,
62890,drs.,J.J.,Jasper Jonathan,Jasper,van Dijk,,SP,,,
662837,prof.dr.,E.,Elbert,Elbert,Dijkgraaf,,SGP,,,
355135,Mr.,K.H.D.M.,Klaas Henricus Dominicus Maria,Klaas,Dijkhoff,,VVD,,,
728457,,S.A.M.,Sharon Alida Maria,Sharon,Dijksma,,PvdA,,,
97194,,P.A.,Pietje Aafke,Pia,Dijkstra,,D66,,,
56378,,R.J.,Remco Jan,Remco,Dijkstra,,VVD,,,
634462,drs.,R.K.,Roelofje Klazina,Carla,Dik-Faber,,CU,,,
4882,,L.I.,Lilian Isabella,Isabelle,Diks,,GL,,,
