"municipality","party","number","initials","given_name","last_name","gender","city"
"Aa en Hunze","Combinatie Gemeentebelangen",1,"H.","Henk","Heijerman","m","Gasselte"
"Aa en Hunze","Combinatie Gemeentebelangen",2,"L.","Bertus","Reinders","m","Grolloo"
"Aa en Hunze","Combinatie Gemeentebelangen",3,"H.","Rikus","Harms","m","Eext"
"Aa en Hunze","Combinatie Gemeentebelangen",4,"R.","Roelof","Brands","m","Rolde"
"Aa en Hunze","Combinatie Gemeentebelangen",5,"N.","Nanno","Pul","m","Gieten"
"Aa en Hunze","Combinatie Gemeentebelangen",6,"J.","Cora","Kuiper","v","Eext"
"Aa en Hunze","Combinatie Gemeentebelangen",7,"J.M.","Jos","van der Werf","m","Gieten"
"Aa en Hunze","Combinatie Gemeentebelangen",8,"G.","Greet","Oosterhuis","v","Gieten"
"Aa en Hunze","Combinatie Gemeentebelangen",9,"J.P.","Jeroen","Keizer","m","Gasselte"
"Aa en Hunze","Combinatie Gemeentebelangen",10,"P.","Piet","Wolters","m","Gasselternijveen"
"Aa en Hunze","Combinatie Gemeentebelangen",11,"R.","Rabbe","Vedder","m","Annen"
"Aa en Hunze","Combinatie Gemeentebelangen",12,"B.","Ina","Oortwijn-de Jong","v","Annerveenschekanaal"
"Aa en Hunze","Combinatie Gemeentebelangen",13,"H.","Hellen","Lensing","v","Schoonloo"
"Aa en Hunze","Combinatie Gemeentebelangen",14,"H.","Henk","Wolf","m","Amen"
"Aa en Hunze","Combinatie Gemeentebelangen",15,"F.A.","Frederik","Dillingh","m","Gieterveen"
"Aa en Hunze","Combinatie Gemeentebelangen",16,"B.A.","Bea","Tiems-Cazemier","v","Anloo"
"Aa en Hunze","Combinatie Gemeentebelangen",17,"H.","Harm","Groen","m","Gieten"
"Aa en Hunze","Combinatie Gemeentebelangen",18,"E.","Erwin","Matthijssen","m","Eext"
"Aa en Hunze","Combinatie Gemeentebelangen",19,"H.","Hilok","Bruins","m","Eexterveen"
"Aa en Hunze","Combinatie Gemeentebelangen",20,"G.","Gerrit","Meijers","m","Annerveenschekanaal"
"Aa en Hunze","Combinatie Gemeentebelangen",21,"J.","Jan","Uildriks","m","Papenvoort"
"Aa en Hunze","Combinatie Gemeentebelangen",22,"J.A.","Jan","Huizinga","m","Gasteren"
"Aa en Hunze","Combinatie Gemeentebelangen",23,"J.E.","Jacob","Glas","m","Gieten"
"Aa en Hunze","Combinatie Gemeentebelangen",24,"L.P.","Lensinus","Beijering","m","Schoonloo"
"Aa en Hunze","Combinatie Gemeentebelangen",25,"J.R.","Jan Roelof","Vos","m","Eexterveen"
"Aa en Hunze","Combinatie Gemeentebelangen",26,"I.","Ivo","Berghuis","m","Gieten"
"Aa en Hunze","Combinatie Gemeentebelangen",27,"H.","Hendrikus","Schrotenboer","m","Grolloo"
"Aa en Hunze","Combinatie Gemeentebelangen",28,"J.J.","Jur","Wiersum","m","Schipborg"
"Aa en Hunze","PvdA",1,"J.","Kiena","ten Brink-Arends","v","Annen"
"Aa en Hunze","PvdA",2,"H.","Henk","Santes","m","Rolde"
"Aa en Hunze","PvdA",3,"A.","Bert","Hadderingh","m","Annen"
"Aa en Hunze","PvdA",4,"P.R.A.J.","Patrick","Petzinger","m","Nieuwediep"
"Aa en Hunze","PvdA",5,"F.","Frits","Klein Langenhorst","m","Gieten"
"Aa en Hunze","PvdA",6,"M.","Marcia","Hagenus","v","Gasselternijveen"
"Aa en Hunze","PvdA",7,"H.","Rikus","Bartol","m","Gieten"
"Aa en Hunze","PvdA",8,"H.","Hayo","Boon","m","Rolde"
"Aa en Hunze","PvdA",9,"J.","Jan","Hoekman","m","Annerveenschekanaal"
"Aa en Hunze","PvdA",10,"R.","Rubert","Bruining","m","Eext"
"Aa en Hunze","PvdA",11,"W.","Willem","Dijkema","m","Spijkerboor"
"Aa en Hunze","PvdA",12,"T.","Tjeerd","Verbeek","m","Gieten"
"Aa en Hunze","PvdA",13,"P.D.","Peter","Roovers","m","Annen"
"Aa en Hunze","PvdA",14,"A.","Annemieke","Smit","v","Eleveld"
"Aa en Hunze","PvdA",15,"H.E.","Heribert","Delicaat","m","Gieten"
"Aa en Hunze","VVD",1,"B.A.","Bas","Luinge","m","Rolde"
"Aa en Hunze","VVD",2,"R.J.","Richard","Heling","m","Grolloo"
"Aa en Hunze","VVD",3,"H.M.","Henriëtte","Rossingh - van Os","v","Gieterveen"
"Aa en Hunze","VVD",4,"W.","Willem","Bartelds","m","Gieten"
"Aa en Hunze","VVD",5,"H.","Rick","Meijer","m","Nieuw Annerveen"
"Aa en Hunze","VVD",6,"R.P.","Roel-Poppe","Lubbers","m","Grolloo"
"Aa en Hunze","VVD",7,"P.N.E","Paula","Terpstra","v","Annen"
"Aa en Hunze","VVD",8,"G.E.","Geert","Koops","m","Eexterveen"
"Aa en Hunze","VVD",9,"D.","Derkjan","Schepers","m","Schoonloo"
"Aa en Hunze","VVD",10,"L.W.","Bert","Tjarks","m","Balloo"
"Aa en Hunze","VVD",11,"H.B.","Herbert","Dijkman","m","Eext"
"Aa en Hunze","VVD",12,"S.P.","Simon","Duursema","m","Gieten"
"Aa en Hunze","VVD",13,"M.","Miranda","Kolkman","v","Gieten"
"Aa en Hunze","VVD",14,"M.R.","Marchien","Hofsteenge","v","Rolde"
"Aa en Hunze","VVD",15,"N.R.M.","Nienke","Botterblom","v","Eexterveen"
"Aa en Hunze","D66",1,"G.A.W.","Arie","Fonk","m","Rolde"
"Aa en Hunze","D66",2,"J.C.M.","Ans","Jacobs","v","Rolde"
"Aa en Hunze","D66",3,"E.S.","Liesbeth","van Buiten","v","Gieten"
"Aa en Hunze","D66",4,"J.G.","Jan","Swarts","m","Annen"
"Aa en Hunze","D66",5,"K.H.B.","Bob","Geudeker","m","Rolde"
"Aa en Hunze","D66",6,"J.C.J.","Jaap","Konijn","m","Gasselternijveen"
"Aa en Hunze","GROENLINKS",1,"N.J.P.","Co","Lambert","m","Rolde"
"Aa en Hunze","GROENLINKS",2,"M.G.W.","Marie-Claire","Neesen","v","Annerveenschekanaal"
"Aa en Hunze","GROENLINKS",3,"L.","Lukas","Koops","m","Grolloo"
"Aa en Hunze","GROENLINKS",4,"M.","Merel","Wassink","v","Gasselte"
"Aa en Hunze","GROENLINKS",5,"J.K.","Jannie","Schonewille","v","Eexterzandvoort"
"Aa en Hunze","GROENLINKS",6,"H.","Hiske","Andriessen","v","Grolloo"
"Aa en Hunze","GROENLINKS",7,"J.","Jorrit","Bosma","m","Nooitgedacht"
"Aa en Hunze","GROENLINKS",8,"J.L.P.M.","Johan","Creemers","m","Eexterveenschekanaal"
"Aa en Hunze","GROENLINKS",9,"C.A.M.","Charles","Houx","m","Gieten"
"Aa en Hunze","GROENLINKS",10,"C.","Corrie","Borger-Steenstra","v","Rolde"
"Aa en Hunze","GROENLINKS",11,"J.C.","Johan","Schuiling","m","Eext"
"Aa en Hunze","GROENLINKS",12,"L.M.","Lutty","van den Berg","v","Gasselternijveen"
"Aa en Hunze","GROENLINKS",13,"J.","Josien","Buiter","v","Nooitgedacht"
"Aa en Hunze","GROENLINKS",14,"B.N.","Bert","Huisman","m","Annen"
"Aa en Hunze","GROENLINKS",15,"A.","Anneke","Meijering","v","Rolde"
"Aa en Hunze","GROENLINKS",16,"A.","Nia","Schuiling-Valkhof","v","Eext"
"Aa en Hunze","GROENLINKS",17,"G.","Geert","Wilkens","m","Gasselte"
"Aa en Hunze","GROENLINKS",18,"E.","Erik","Sijtsma","m","Eexterveen"
"Aa en Hunze","GROENLINKS",19,"M.C.","Marjolijn","Zwolsman","v","Rolde"
"Aa en Hunze","GROENLINKS",20,"F.","Frits","Mulder","m","Gieten"
"Aa en Hunze","CDA",1,"S.","Sonja","Hilgenga","v","Eext"
"Aa en Hunze","CDA",2,"D.J.","Dick","Sybenga","m","Gieten"
"Aa en Hunze","CDA",3,"K.J.","Klaas Jan","Stol","m","Gasselternijveen"
"Aa en Hunze","CDA",4,"J.","Jan","van de Belt","m","Gasselternijveen"
"Aa en Hunze","CDA",5,"H.","Hayo","Banga","m","Gieten"
"Aa en Hunze","CDA",6,"F.J.","Frits","Haan","m","Annen"
"Aa en Hunze","CDA",7,"M.","Margreet","de Wolde","v","Gasselte"
"Aa en Hunze","CDA",8,"J.","Jantje","Thijms","v","Rolde"
"Aa en Hunze","CDA",9,"M.H.","Thijs","van der Laan","m","Annen"
"Aa en Hunze","CDA",10,"C.M.J.","Ceciel","Mentink","v","Gieterveen"
"Aa en Hunze","CDA",11,"J.K.","Jan","Rombout","m","Rolde"
"Aa en Hunze","CDA",12,"H.J.","Herman","Visker","m","Nieuw Annerveen"
"Aa en Hunze","CDA",13,"A.J.","Aad","Twigt","m","Rolde"
"Aa en Hunze","CDA",14,"H.P.","Harry","de Vries","m","Gasselternijveen"
"Aa en Hunze","CDA",15,"A.","Albert","Hakkenes","m","Gieten"
"Aa en Hunze","CDA",16,"H.J.","Harry","Dijkstra","m","Gasselternijveenschemond"
"Aa en Hunze","CDA",17,"A.R.","Albert","Koops","m","Gasselternijveen"
"Aalsmeer","CDA",1,"R.","Robbert-Jan","van Duijn","m","Aalsmeer"
"Aalsmeer","CDA",2,"D.","Dirk","van Willegen","m","Aalsmeer"
"Aalsmeer","CDA",3,"A.M.","Ankie","Harte - Fokker","v","Aalsmeer"
"Aalsmeer","CDA",4,"L.B.","Bart","Kabout","m","Kudelstaart"
"Aalsmeer","CDA",5,"M.P.","Eppo","Buskermolen","m","Kudelstaart"
"Aalsmeer","CDA",6,"P.H.J.M.","Paul","van Soelen","m","Kudelstaart"
"Aalsmeer","CDA",7,"T.F.M.","Tom","Verlaan","m","Kudelstaart"
"Aalsmeer","CDA",8,"G.J.H.","Gerard","Winkels","m","Aalsmeer"
"Aalsmeer","CDA",9,"C.","Kees","Kaslander","m","Aalsmeer"
"Aalsmeer","CDA",10,"C.A.F.","Chris","Leicher","m","Aalsmeer"
"Aalsmeer","CDA",11,"T.","Thirsa","van der Meer","v","Aalsmeer"
"Aalsmeer","CDA",12,"A.G.N.","Ton","Harte","m","Aalsmeer"
"Aalsmeer","CDA",13,"M.C.","Marga","Heijenk","v","Aalsmeer"
"Aalsmeer","CDA",14,"A.A.J.","Annik","van Berlo - van Keer","v","Aalsmeer"
"Aalsmeer","CDA",15,"M.","Marja","van Duijn - Lagerweij","v","Kudelstaart"
"Aalsmeer","CDA",16,"M.","Marlon","van Diemen - Kreeft","v","Aalsmeer"
"Aalsmeer","CDA",17,"R.","Ruben","Visser","m","Kudelstaart"
"Aalsmeer","CDA",18,"W.J.","Jeroen","de Vries","m","Kudelstaart"
"Aalsmeer","CDA",19,"A.","Arie","de Vos","m","Kudelstaart"
"Aalsmeer","CDA",20,"J.M.","Jan","Dreschler","m","Aalsmeer"
"Aalsmeer","CDA",21,"J.","Jaap","Kranenburg","m","Aalsmeer"
"Aalsmeer","CDA",22,"B.","Bert","Brinkman","m","Aalsmeer"
"Aalsmeer","CDA",23,"C.A.","Ines","van der Boon - Hulsbos","v","Aalsmeer"
"Aalsmeer","CDA",24,"A.","Ad","Verburg","m","Kudelstaart"
"Aalsmeer","VVD",1,"R.K.","Robert","van Rijn","m","Aalsmeer"
