system_id,municipality,party,initials,first_name,last_name,gender,role
274985055313,Den Bosch,D66,M.J.J.,Mike,van der Geld,male,
347404275230,Den Bosch,D66,R.M.J.,René,van den Kerkhof,male,
1060599433100,Den Bosch,D66,I.E.C.,Inge,Visschedijk,female,
822858336287,Den Bosch,D66,J.M.M.,Annemarie,Hoog Antink,female,
911241230325,Den Bosch,D66,D.J.G.,Daan,Peters,male,
582623856145,Den Bosch,D66,G.M.M.,Geert,Verbruggen,male,
56300773580,Den Bosch,D66,B.,Bilal,Kaya,male,
172603451946,Den Bosch,D66,H.,Henk,Groen,male,
12492485918,Den Bosch,D66,V.J.M.,Veerle,van Doorn,female,
1095305090207,Den Bosch,D66,S.,Steven,Hommersom,male,
140799447782,Den Bosch,D66,D.,David,Biersteker,male,
407341121925,Den Bosch,D66,J.C.,Hans,van Veen,male,
961721742751,Den Bosch,D66,D.,Dirk,Postma,male,
533596249445,Den Bosch,D66,M.G.H.,Thijs,van Rens,male,
1071305821633,Den Bosch,D66,I.S.,Ivo,van Heck,male,
780406872849,Den Bosch,D66,M.,Mieke,de Wit,female,
189080903588,Den Bosch,D66,G.J.J.W.,Nicolette,Schaapsmeerders,female,
923447233269,Den Bosch,D66,F.M.,Fanne,Pouw,female,
52588932231,Den Bosch,D66,P.M.,Petra,van Dooren-Lansdorp,female,
401961822994,Den Bosch,D66,J.C.J.M.,Jan,Smit,male,
1003260980056,Den Bosch,D66,E.L.E.,Eefje,van den Dungen,female,
663076349091,Den Bosch,D66,W.G.,Wim,Pelgrim,male,
921902289089,Den Bosch,D66,R.F.H.M.,Robbert,van Schaik,male,
531631310170,Den Bosch,D66,C.W.M.,Ineke,Kruijs-Griens,female,
238494633117,Den Bosch,D66,S.H.T.,Steve,Bertens,male,
338521436874,Den Bosch,D66,P.C.,Sabina,de Lange,female,
977874411696,Den Bosch,D66,G.P.,Gerk,Oberman,male,
862939074393,Den Bosch,D66,E.,Eva,Morre,female,
650659983567,Den Bosch,D66,J.P.G.M.,Hans,Brouwers,male,
64461968376,Den Bosch,D66,L.F.M.,Leonie,van Dongen,female,
974385198233,Den Bosch,D66,B.M.,Bram,de Jong,male,
692112434821,Den Bosch,D66,J.A.,John,Vermeulen,male,
1022496311832,Den Bosch,D66,M.H.J.P.,Marieke,van Lieshout,female,
339769981971,Den Bosch,D66,A.L.,Antoon,Becker,male,
582748835739,Den Bosch,D66,M.,Michael,Egmont-Petersen,male,
102032552478,Den Bosch,D66,J.,Jannes,van Hove,male,
260782792157,Den Bosch,D66,L.A.,Lenard,Schoonen,male,
1013595694560,Den Bosch,D66,D.L.J.W.,Danny,Gloudemans,male,
697184061697,Den Bosch,D66,L.J.M.,Lars,Brok,male,
1098909207367,Den Bosch,D66,P.A.J.M.,Peter,van Aspert,male,
507311192848,Den Bosch,D66,E.J.J.,Erik,Beulen,male,
789704064720,Den Bosch,D66,R.R.,Robert,Wit,male,
666889822109,Den Bosch,D66,S.J.,Stefan,Schuwer,male,
209766798904,Den Bosch,D66,N.,Nico,Berlee,male,
284998070814,Den Bosch,D66,M.Y.,Marjolein,Schouten,female,
328581944583,Den Bosch,D66,C.M.,Kees,van Dongen,male,
1077805638838,Den Bosch,D66,H.P.C.,Hugo,van den Berg,male,
40227250317,Den Bosch,D66,B.,Bilal,El Amraoui,male,
874274549996,Den Bosch,D66,C.A.,Camille,van den Akker,male,
53982399039,Den Bosch,D66,E.H.P.,Eric,Logister,male,
148679403369,Den Bosch,Rosmalens Belang,R.A.P.,Roy,Geers,male,
106823740892,Den Bosch,Rosmalens Belang,A.J.G.,Antoon,de Groot,male,
663896610274,Den Bosch,Rosmalens Belang,R.F.,Roos,van der Kallen - van der Donk,female,
1064609215907,Den Bosch,Rosmalens Belang,G.J.I.J.,Guido,Smeets,male,
494979387007,Den Bosch,Rosmalens Belang,A.M.P.,Annemiek,van Gerven - van Nistelrooij,female,
1095172539777,Den Bosch,Rosmalens Belang,M.I.,Marit,van Ewijk,female,
830824038909,Den Bosch,Rosmalens Belang,C.A.J.M.,Cees,van Iersel,male,
916661566981,Den Bosch,Rosmalens Belang,H.G.M.M.,Eric,Langens,male,
276868531095,Den Bosch,Rosmalens Belang,F.,Floor,de Bruijn,female,
429789306020,Den Bosch,Rosmalens Belang,J.A.,Sjef,van der Donk,male,
541796350509,Den Bosch,Rosmalens Belang,W.L.,Wouter,Kamp,male,
303362445983,Den Bosch,Rosmalens Belang,P.B.M.,Pleunie,den Otter,female,
792151537368,Den Bosch,Rosmalens Belang,I.H.W.M.,Ilse,van Aggelen,female,
599612529927,Den Bosch,Rosmalens Belang,A.E.M.,Bart,van Druenen,male,
1077789826790,Den Bosch,Rosmalens Belang,V.W.H.M.,Vincent,Kerkhof,male,
109461626555,Den Bosch,Rosmalens Belang,J.A.M.,Karen,van Lith,female,
744732977259,Den Bosch,Rosmalens Belang,H.H.P.G.,Herman,van Dinther,male,
884538962828,Den Bosch,Rosmalens Belang,P.F.J.,Paul,Koehorst,male,
196897699108,Den Bosch,Rosmalens Belang,W.J.P.M.,Wilfred,Clement,male,
966125939657,Den Bosch,Rosmalens Belang,G.H.J.,Gerda,van de Ven,female,
197398549657,Den Bosch,Rosmalens Belang,M.A.A.G.,Rini,Timmers,male,
400354877932,Den Bosch,Rosmalens Belang,H.J.H.M.,Betty,van Creij,female,
969966797550,Den Bosch,Rosmalens Belang,M.H.L.,Mart,de Veer,male,
1036251244565,Den Bosch,Rosmalens Belang,M.J.,Rien,van Grunsven,male,
204471080625,Den Bosch,Rosmalens Belang,W.P.J.M.,Willem-Peter,Kriek,male,
885924814322,Den Bosch,Rosmalens Belang,A.J.M.,Jos,van Son,male,
276054477161,Den Bosch,VVD,J.W.F.,Jan,Hoskam,male,
143234160484,Den Bosch,VVD,R.J.J.,Ralph,Geers,male,
963534657425,Den Bosch,VVD,E.E.M.,Eva,Eigenhuijsen,female,
803901454683,Den Bosch,VVD,M.A.W.A.M.,Mikhael,Hack,male,
603008455789,Den Bosch,VVD,J.P.M.,Hanneke,Welten,female,
288112738817,Den Bosch,VVD,A.M.,André,Rotman,male,
939372901473,Den Bosch,VVD,F.J.,Freek,van Haren,male,
588895295560,Den Bosch,VVD,W.,Wendy,de Groot,female,
117482991411,Den Bosch,VVD,L.L.F.M.,Gino,Ciotti,male,
1048927867036,Den Bosch,VVD,R.P.M.,Robert,Janssen,male,
108822216478,Den Bosch,VVD,L.T.J.,Loek,Opdam,male,
331488722212,Den Bosch,VVD,P.H.J.,Patrick,Molle,male,
354366721359,Den Bosch,VVD,M.H.,Maarten,Schutgens,male,
1062111259605,Den Bosch,VVD,A.T.,Titia,Bredée,female,
312767136201,Den Bosch,VVD,J.A.M.,Johan,van Miltenburg,male,
19436643367,Den Bosch,VVD,K.A.J.M.,Karel,Burger Dirven-Groenendijk,male,
765427940963,Den Bosch,CDA,H.C.,Huib,van Olden,male,
860432530258,Den Bosch,CDA,M.A.B.,Marianne,van der Sloot,female,
