system_id,title,initials,first_name,given_name,last_name,suffix,party,department,municipality,role,gender
379989,,R.R.,Roelof Roy,Roy,van Aalst,,PVV,,,,unknown
19567,MA,M.,Marie-Fleur,Fleur,Agema,,PVV,,,,unknown
413960,,M.Ö.,Mahir Önder,Mahir,Alkaya,,SP,,,,unknown
439911,Ing.,M.,Mustafa,Mustafa,Amhaouch,,CDA,,,,unknown
812733,drs.,K.,Khadija,Khadija,Arib,,PvdA,,,,unknown
689747,,F.M.,Femke Merel,Femke Merel,Arissen,,PvdD,,,,unknown
458041,dr.,L.F.,Lodewijk Frans,Lodewijk,Asscher,,PvdA,,,,unknown
747147,drs.,F.,Farid,Farid,Azarkan,,DENK,,,,unknown
683064,mr.,M.,Malik,Malik,Azmani,,VVD,,,,unknown
802065,Mr. Dr.,T.H.P.,Thierry Henri Philippe,Thierry,Baudet,,FvD,,,,unknown
219265,,B.,Bente,Bente,Becker,,VVD,,,,unknown
416675,dr.,S.M.,Sandra Mariët,Sandra,Beckerman,,SP,,,,unknown
728600,,H.J.,Harm Jan,Harm,Beertema,,PVV,,,,unknown
1037599,,S.,Salima,Salima,Belhaj,,D66,,,,unknown
729295,,J.A.M.J.,Jacoba Antonia Maria Joanna,Joba,van den Berg,,CDA,,,,unknown
684297,,V.A.,Vera Alida,Vera,Bergkamp,,D66,,,,unknown
344751,Dr.,R.,Roelof,Roelof,Bisschop,,SGP,,,,unknown
152938,,M.G.W.,Monica Geertruida Wilhelmina,Monica,den Boer,,D66,,,,unknown
309483,,A.,Albert,Albert,van den Bosch,,VVD,,,,unknown
589208,drs. MA,M.,Martin,Martin,Bosma,,PVV,,,,unknown
185034,,A.,André,André,Bosman,,VVD,,,,unknown
59971,Drs,A.,Achraf,Achraf,Bouali,,D66,,,,unknown
1024376,Msc.,C.M.,Cornelia Maria,Corrie,van Brenk,,50PLUS,,,,unknown
164540,drs.,J.H.,Johannes Hermanus,Han,ten Broeke,,VVD,,,,unknown
789165,dr.,E.E.W.,Eppo Egbert Willem,Eppo,Bruins,,CU,,,,unknown
599661,Mr. drs.,H.G.J.,Hanke Gerdina Johannette,Hanke,Bruins Slot,,CDA,,,,unknown
547607,dr.,K.M.,Kathalijne,Kathalijne,Buitenweg,,GL,,,,unknown
953699,mr. MPM,C.J.L.,Christiaan Jan Lodewijk,Chris,van Dam,,CDA,,,,unknown
697219,,A.E.,Antje Engelina,Antje,Diertens,,D66,,,,unknown
216593,ir.,A.P.C.,Antoine Pierre Cornelis,Tony,van Dijck,,PVV,,,,unknown
609884,,G.J.,Gijs Jan,Gijs,van Dijk,,PvdA,,,,unknown
62890,drs.,J.J.,Jasper Jonathan,Jasper,van Dijk,,SP,,,,unknown
662837,prof.dr.,E.,Elbert,Elbert,Dijkgraaf,,SGP,,,,unknown
355135,Mr.,K.H.D.M.,Klaas Henricus Dominicus Maria,Klaas,Dijkhoff,,VVD,,,,unknown
728457,,S.A.M.,Sharon Alida Maria,Sharon,Dijksma,,PvdA,,,,unknown
97194,,P.A.,Pietje Aafke,Pia,Dijkstra,,D66,,,,unknown
56378,,R.J.,Remco Jan,Remco,Dijkstra,,VVD,,,,unknown
634462,drs.,R.K.,Roelofje Klazina,Carla,Dik-Faber,,CU,,,,unknown
4882,,L.I.,Lilian Isabella,Isabelle,Diks,,GL,,,,unknown
466010,ir.,J.M.,Jessica Marie Catherine,Jessica,van Eijs,,D66,,,,unknown
